row_id,country,is_urban,age,female,married,religion,relationship_to_hh_head,education_level,can_add,num_times_borrowed_last_year,can_use_internet,phone_ownership,dinero_en_banco,fecha_ultimo_trabajo
0,F,FALSO,57,VERDADERO,VERDADERO,X,Father/Mother,4,VERDADERO,1,VERDADERO,2,593,22/11/2002
1,C,FALSO,40,FALSO,VERDADERO,P,Head,6,VERDADERO,1,FALSO,2,1400,2/2/2007
2,I,FALSO,35,VERDADERO,VERDADERO,Q,Spouse,6,VERDADERO,1,FALSO,2,1469,28/1/2019
3,I,VERDADERO,19,VERDADERO,FALSO,Q,Son/Daughter,5,VERDADERO,0,FALSO,1,582,24/7/2003
4,A,FALSO,61,VERDADERO,VERDADERO,Q,Father/Mother,5,FALSO,1,FALSO,1,734,7/11/2016
5,A,VERDADERO,16,VERDADERO,FALSO,Q,Son/Daughter,4,VERDADERO,1,VERDADERO,1,574,18/1/2011
6,F,FALSO,40,FALSO,VERDADERO,Q,Head,2,VERDADERO,0,FALSO,0,005,5/6/2000
7,C,FALSO,27,VERDADERO,VERDADERO,P,Spouse,4,VERDADERO,0,FALSO,0,351,2/11/2014
8,A,VERDADERO,35,FALSO,VERDADERO,Q,Head,0,VERDADERO,0,VERDADERO,2,539,16/10/2003
9,J,FALSO,72,VERDADERO,FALSO,X,Head,2,VERDADERO,2,FALSO,2,659,21/8/2014
10,C,FALSO,22,FALSO,VERDADERO,P,Sister/Brother,0,VERDADERO,0,FALSO,2,622,22/4/2013
11,F,FALSO,27,FALSO,FALSO,Q,Father/Mother,6,VERDADERO,0,VERDADERO,2,60,24/4/2010
12,I,FALSO,45,FALSO,VERDADERO,Q,Head,0,VERDADERO,0,FALSO,0,458,28/8/2014
13,G,FALSO,36,FALSO,VERDADERO,X,Head,6,VERDADERO,1,VERDADERO,2,1276,16/11/2017
14,C,FALSO,62,FALSO,VERDADERO,Q,Head,5,VERDADERO,0,FALSO,0,814,2/2/2001
15,G,FALSO,21,FALSO,FALSO,X,Other,3,VERDADERO,2,VERDADERO,2,1402,20/7/2009
16,A,FALSO,69,FALSO,VERDADERO,Q,Head,6,VERDADERO,0,FALSO,2,248,20/3/2007
17,G,FALSO,52,VERDADERO,FALSO,X,Head,1,VERDADERO,3,FALSO,2,1359,26/9/2001
19,C,FALSO,60,VERDADERO,VERDADERO,P,Spouse,2,VERDADERO,1,FALSO,0,694,10/10/2019
20,D,FALSO,35,VERDADERO,VERDADERO,X,Spouse,5,VERDADERO,2,FALSO,2,1187,9/7/2019
21,I,FALSO,29,VERDADERO,VERDADERO,Q,Head,5,VERDADERO,0,FALSO,0,81,14/12/2005
22,I,FALSO,18,FALSO,FALSO,Q,Son/Daughter,5,FALSO,0,FALSO,2,451,15/3/2005
23,D,FALSO,35,FALSO,VERDADERO,X,Head,5,VERDADERO,0,FALSO,1,131,28/5/2015
24,C,FALSO,42,FALSO,VERDADERO,P,Head,6,VERDADERO,0,FALSO,2,580,21/6/2008
25,G,FALSO,33,FALSO,VERDADERO,X,Head,4,VERDADERO,3,FALSO,1,563,11/11/2001
26,C,VERDADERO,21,FALSO,VERDADERO,O,Head,5,VERDADERO,0,FALSO,2,140,6/5/2003
27,A,FALSO,86,FALSO,VERDADERO,Q,Head,6,VERDADERO,0,FALSO,2,403,9/8/2009
28,G,FALSO,26,VERDADERO,FALSO,X,Son/Daughter,2,VERDADERO,0,FALSO,2,1474,6/3/2004
29,D,FALSO,43,VERDADERO,VERDADERO,X,Spouse,3,FALSO,0,FALSO,2,780,18/2/2015
30,C,FALSO,16,VERDADERO,FALSO,P,Son/Daughter,0,VERDADERO,1,FALSO,2,377,19/11/2008
31,G,FALSO,28,VERDADERO,VERDADERO,X,Spouse,1,VERDADERO,0,FALSO,2,923,1/8/2004
32,C,FALSO,31,FALSO,VERDADERO,Q,Head,3,VERDADERO,0,VERDADERO,2,130,27/9/2019
33,G,VERDADERO,50,VERDADERO,FALSO,X,Father/Mother,4,VERDADERO,1,VERDADERO,2,628,7/12/2000
34,F,VERDADERO,20,VERDADERO,FALSO,Q,Son/Daughter,1,VERDADERO,0,VERDADERO,2,1298,18/4/2004
35,F,VERDADERO,35,FALSO,VERDADERO,Q,Head,4,FALSO,2,FALSO,2,174,6/12/2010
36,F,VERDADERO,36,VERDADERO,VERDADERO,Q,Father/Mother,5,VERDADERO,2,FALSO,2,270,3/11/2004
37,D,FALSO,44,FALSO,FALSO,Q,Head,5,VERDADERO,3,FALSO,2,580,22/5/2008
38,G,FALSO,33,VERDADERO,VERDADERO,X,Spouse,5,FALSO,0,FALSO,2,1435,6/4/2012
39,C,FALSO,50,FALSO,VERDADERO,P,Head,5,VERDADERO,0,FALSO,2,1072,15/6/2005
40,F,FALSO,37,FALSO,FALSO,X,Head,3,VERDADERO,1,VERDADERO,2,811,26/11/2006
41,I,FALSO,32,FALSO,VERDADERO,Q,Son/Daughter,2,VERDADERO,0,FALSO,2,1041,27/3/2009
42,C,VERDADERO,52,VERDADERO,FALSO,X,Head,0,FALSO,1,FALSO,2,1151,4/4/2000
43,G,FALSO,19,FALSO,FALSO,Q,Head,1,VERDADERO,0,VERDADERO,2,282,21/6/2014
44,C,FALSO,32,FALSO,VERDADERO,P,Head,3,VERDADERO,1,FALSO,2,211,4/2/2017
45,C,VERDADERO,22,VERDADERO,FALSO,P,Son/Daughter,5,VERDADERO,1,FALSO,1,466,25/5/2008
46,F,FALSO,35,VERDADERO,VERDADERO,Q,Spouse,2,FALSO,0,FALSO,1,198,26/3/2002
47,I,FALSO,40,VERDADERO,VERDADERO,Q,Spouse,4,VERDADERO,0,FALSO,0,1408,20/10/2002
48,A,VERDADERO,35,FALSO,VERDADERO,Q,Head,3,VERDADERO,1,FALSO,2,652,10/7/2008
49,C,FALSO,24,FALSO,VERDADERO,P,Son/Daughter,2,VERDADERO,1,FALSO,2,1414,19/4/2016
50,F,FALSO,50,FALSO,VERDADERO,Q,Head,2,VERDADERO,2,VERDADERO,2,971,3/11/2006
